date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots,target1,target2,target3,target4,target5,target6,target7,target8,target9,target10,target11,target12,target13,target14,target15,target16,target17,target18
2,1,1,3,2,2,2,2,1,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,3,2,4,1,1,1,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,1,2,3,3,2,2,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,3,2,1,2,1,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,2,3,3,1,2,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,2,4,1,2,1,0,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,3,2,3,1,1,2,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,1,2,2,3,1,1,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,2,4,1,1,1,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,2,2,1,2,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,2,2,4,2,1,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,2,3,1,1,2,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3,1,2,3,3,1,3,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,1,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,2,4,3,2,1,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,2,3,1,1,1,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,2,1,4,1,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,2,2,4,2,2,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,1,2,3,4,2,2,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,3,2,1,2,2,2,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,3,2,4,3,1,1,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,1,2,4,1,1,1,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,2,4,1,2,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,3,2,2,4,1,1,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,3,2,3,1,1,2,0,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,3,2,1,4,1,2,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,3,2,1,4,1,2,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,2,3,1,2,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,3,2,2,2,1,1,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,3,2,4,3,1,1,0,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,3,1,2,2,4,1,2,1,2,0,2,3,2,1,1,1,1,2,1,2,2,2,1,3,1,1,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,3,1,2,4,1,1,1,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,3,3,2,3,1,1,2,1,2,0,2,3,2,1,1,1,1,2,1,1,1,2,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,3,2,2,3,1,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,1,1,2,2,4,1,1,3,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,3,3,2,2,4,2,1,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,1,3,2,3,4,1,1,0,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,1,2,3,3,1,2,0,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,3,2,4,1,2,1,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,1,2,3,4,1,1,0,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,3,2,1,1,1,1,0,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,3,2,3,4,1,1,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,1,2,4,1,2,1,1,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,3,2,3,1,2,1,0,2,0,2,3,2,1,1,1,1,2,1,1,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1,1,3,2,2,3,2,2,3,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,3,2,2,2,2,2,0,2,0,2,3,2,1,1,1,1,2,1,1,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,1,2,4,1,1,1,1,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,1,2,4,3,2,2,1,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,1,2,3,1,1,1,0,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,3,2,2,2,2,2,1,2,0,2,3,2,1,1,1,1,2,1,1,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,1,3,2,4,3,2,2,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,2,3,1,2,2,4,1,1,1,2,0,2,3,2,1,1,1,1,2,1,2,2,1,1,3,1,1,2,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,3,3,2,4,4,2,3,1,2,0,2,3,2,1,1,1,1,2,1,3,2,1,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,3,2,2,3,2,2,1,2,0,2,3,2,1,1,1,1,2,1,1,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,3,2,2,4,1,1,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1,1,3,2,2,2,2,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,1,1,2,2,1,1,1,3,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,3,2,4,3,2,2,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,1,2,4,2,2,2,1,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,1,1,2,2,2,1,2,3,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,1,2,2,4,1,1,3,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,3,2,1,1,2,1,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,3,2,3,4,2,1,0,2,0,2,3,2,1,1,1,1,2,1,1,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,3,1,2,4,1,1,3,3,1,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,3,2,3,2,1,2,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,3,2,4,3,2,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,1,2,4,4,2,1,1,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,3,2,4,3,1,2,1,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,1,2,3,2,1,2,0,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,3,2,3,4,1,1,3,2,0,2,3,2,1,1,1,1,2,1,2,1,2,1,3,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,1,1,0,2,4,0,0,1,2,1,0,0,0,0,0,0,1,0,3,3,2,1,1,3,1,1,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2,1,1,0,3,4,0,0,0,2,1,0,0,0,0,0,0,1,0,3,3,2,1,1,3,1,1,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2,1,1,0,2,4,0,0,1,2,1,0,0,0,0,0,0,1,0,3,3,2,1,1,3,1,1,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1,3,1,0,2,2,0,0,3,2,1,0,0,0,0,0,0,1,0,3,3,2,1,1,3,1,1,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,1,1,0,3,4,0,0,2,2,1,0,0,0,0,0,0,1,0,3,3,2,1,1,3,1,1,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2,1,1,0,3,4,0,0,1,2,1,0,0,0,0,0,0,1,0,3,3,2,1,1,3,1,1,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,3,2,4,2,2,2,3,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,1,3,2,3,2,3,1,0,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,1,3,2,2,2,3,2,3,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2,1,3,2,4,2,2,2,0,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,1,3,2,2,2,2,2,0,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2,1,3,2,3,2,2,1,1,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2,1,3,2,2,1,2,1,3,1,0,1,1,1,1,1,1,1,1,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,1,3,2,3,1,2,2,0,1,0,1,1,1,1,1,1,1,1,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,1,3,2,2,2,2,1,3,1,0,1,1,1,1,1,1,1,1,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2,1,3,2,2,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,2,3,2,3,4,2,1,0,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2,2,1,2,2,3,2,2,3,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,2,1,2,2,4,2,1,0,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2,2,1,2,1,3,2,2,3,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2,2,1,1,3,3,2,2,3,1,0,1,1,1,1,1,1,1,1,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,2,1,1,1,3,2,2,0,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,2,1,1,4,4,2,1,3,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2,2,1,1,3,3,2,2,1,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2,2,1,1,2,4,2,1,0,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2,2,1,1,2,4,2,1,1,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2,1,1,2,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,2,2,3,1,2,1,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,2,2,1,1,2,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,1,2,2,3,1,2,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,2,2,2,1,3,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,2,2,3,1,2,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,2,1,1,1,3,2,3,1,0,1,1,1,1,1,1,1,1,4,1,1,2,2,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,2,2,4,1,2,1,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,3,2,2,2,1,3,2,3,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
